2019_01_23,653,30,18
2019_01_24,941,36,26
2019_01_25,2019,49,56
2019_01_26,2794,54,80
2019_01_27,4473,63,107
2019_01_28,6057,111,133
2019_01_29,7783,133,170
2019_01_30,9776,187,213
2019_01_31,11377,252,259
2019_02_01,14549,340,305
2019_02_02,17295,487,362
2019_02_03,20588,644,426
2019_02_04,24503,899,492
2019_02_05,24630,1029,494
2019_02_06,30877,1499,636
2019_02_07,31532,1763,638
2019_02_08,37549,2701,813
2019_02_09,40536,3312,910
2019_02_10,42767,3950,1013
2019_02_11,45117,4781,1115
2019_02_12,60328,5986,1368
2019_02_13,64422,7064,1491
2019_02_14,66887,8058,1523
2019_02_15,69032,9395,1666
2019_02_16,71226,10865,1770
2019_02_17,73260,12583,1868
2019_02_18,75152,14352,2007
2019_02_19,75641,16121,2122
2019_02_20,76199,18177,2247
2019_02_21,76843,18890,2251
2019_02_22,78599,22886,2458
2019_02_23,78985,23394,2469
2019_02_24,79570,25227,2629
2019_02_25,80415,27905,2708
2019_02_26,81397,30384,2770
2019_02_27,82756,33277,2814
2019_02_28,84124,36711,2867
2019_02_29,86013,39782,2941
2019_03_01,88371,42716,2996
2019_03_02,90309,45602,3085
2019_03_03,92844,48229,3160
2019_03_04,95124,51171,3254
